date,state,positive,negative,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,death
2021-03-07,AK,56886.0,0.0,33.0,0.0,2.0,305.0
2021-03-07,AL,499819.0,1931711.0,494.0,0.0,0.0,10148.0
2021-03-07,AR,324818.0,2480716.0,335.0,141.0,65.0,5319.0
2021-03-07,AS,0.0,2140.0,0.0,0.0,0.0,0.0
2021-03-07,AZ,826454.0,3073010.0,963.0,273.0,143.0,16328.0
2021-03-07,CA,3501394.0,0.0,4291.0,1159.0,0.0,54124.0
2021-03-07,CO,436602.0,2199458.0,326.0,0.0,0.0,5989.0
2021-03-07,CT,285330.0,0.0,428.0,0.0,0.0,7704.0
2021-03-07,DC,41419.0,0.0,150.0,38.0,16.0,1030.0
2021-03-07,DE,88354.0,545070.0,104.0,13.0,0.0,1473.0
2021-03-07,FL,1909209.0,9339038.0,3307.0,0.0,0.0,32266.0
2021-03-07,GA,1023487.0,0.0,2008.0,0.0,0.0,17906.0
2021-03-07,GU,7749.0,112887.0,2.0,1.0,1.0,133.0
2021-03-07,HI,28699.0,0.0,27.0,5.0,3.0,445.0
2021-03-07,IA,282384.0,1044418.0,167.0,35.0,6.0,5558.0
2021-03-07,ID,172931.0,505964.0,150.0,33.0,0.0,1879.0
2021-03-07,IL,1198335.0,0.0,1141.0,255.0,112.0,23014.0
2021-03-07,IN,667262.0,2483156.0,656.0,104.0,50.0,12737.0
2021-03-07,KS,295861.0,974686.0,235.0,50.0,22.0,4812.0
2021-03-07,KY,410709.0,0.0,558.0,156.0,82.0,4819.0
2021-03-07,LA,433785.0,5261679.0,532.0,0.0,75.0,9748.0
2021-03-07,MA,591356.0,4404792.0,665.0,174.0,116.0,16417.0
2021-03-07,MD,387319.0,3034546.0,818.0,215.0,0.0,7955.0
2021-03-07,ME,45794.0,0.0,67.0,16.0,8.0,706.0
2021-03-07,MI,656072.0,0.0,866.0,222.0,97.0,16658.0
2021-03-07,MN,490011.0,3058514.0,224.0,57.0,0.0,6550.0
2021-03-07,MO,480643.0,1878583.0,955.0,197.0,135.0,8161.0
2021-03-07,MP,145.0,17429.0,0.0,0.0,0.0,2.0
2021-03-07,MS,297581.0,1459374.0,419.0,89.0,47.0,6808.0
2021-03-07,MT,100914.0,0.0,63.0,12.0,6.0,1381.0
2021-03-07,NC,872176.0,0.0,1179.0,309.0,0.0,11502.0
2021-03-07,ND,100391.0,305912.0,23.0,3.0,0.0,1478.0
2021-03-07,NE,203026.0,771128.0,137.0,0.0,0.0,2113.0
2021-03-07,NH,76861.0,579582.0,68.0,0.0,0.0,1184.0
2021-03-07,NJ,812609.0,10186941.0,1792.0,376.0,232.0,23574.0
2021-03-07,NM,186922.0,0.0,169.0,0.0,0.0,3808.0
2021-03-07,NV,296190.0,1131758.0,399.0,87.0,48.0,5037.0
2021-03-07,NY,1681169.0,0.0,4789.0,999.0,682.0,39029.0
2021-03-07,OH,978471.0,0.0,820.0,260.0,171.0,17656.0
2021-03-07,OK,428997.0,3146300.0,346.0,100.0,0.0,4534.0
2021-03-07,OR,157079.0,0.0,158.0,32.0,12.0,2296.0
2021-03-07,PA,948643.0,3942124.0,1587.0,314.0,183.0,24349.0
2021-03-07,PR,101632.0,305972.0,134.0,21.0,19.0,2062.0
2021-03-07,RI,128781.0,677570.0,141.0,25.0,16.0,2547.0
2021-03-07,SC,525865.0,4657179.0,579.0,137.0,83.0,8754.0
2021-03-07,SD,113589.0,314540.0,72.0,9.0,6.0,1900.0
2021-03-07,TN,782206.0,0.0,851.0,218.0,127.0,11543.0
2021-03-07,TX,2686818.0,0.0,4721.0,1463.0,0.0,44451.0
2021-03-07,UT,374850.0,1560293.0,212.0,73.0,0.0,1976.0
2021-03-07,VA,585700.0,0.0,1127.0,258.0,168.0,9596.0
2021-03-07,VI,2714.0,46167.0,0.0,0.0,0.0,25.0
2021-03-07,VT,16083.0,320060.0,31.0,1.0,0.0,208.0
2021-03-07,WA,344532.0,0.0,431.0,98.0,43.0,5041.0
2021-03-07,WI,621654.0,2647864.0,249.0,66.0,0.0,7106.0
2021-03-07,WV,133445.0,0.0,179.0,40.0,26.0,2325.0
2021-03-07,WY,54764.0,182264.0,21.0,0.0,0.0,682.0
2021-03-06,AK,56886.0,0.0,33.0,0.0,2.0,305.0
2021-03-06,AL,499411.0,1929624.0,526.0,0.0,0.0,10149.0
2021-03-06,AR,324653.0,2477449.0,345.0,148.0,75.0,5297.0
2021-03-06,AS,0.0,2140.0,0.0,0.0,0.0,0.0
2021-03-06,AZ,825119.0,3059332.0,966.0,280.0,140.0,16323.0
2021-03-06,CA,3497578.0,0.0,4513.0,1221.0,0.0,53866.0
2021-03-06,CO,435762.0,2199458.0,326.0,0.0,0.0,5986.0
2021-03-06,CT,285330.0,0.0,428.0,0.0,0.0,7704.0
2021-03-06,DC,41273.0,0.0,150.0,40.0,15.0,1030.0
2021-03-06,DE,88139.0,544153.0,114.0,12.0,0.0,1464.0
2021-03-06,FL,1905185.0,9319872.0,3352.0,0.0,0.0,32200.0
2021-03-06,GA,1021778.0,0.0,2071.0,0.0,0.0,17905.0
2021-03-06,GU,7749.0,112887.0,2.0,1.0,1.0,133.0
